epoch:49 loss:0.003312, acc:1.000000
epoch:49 loss:0.004734, acc:1.000000
epoch:49 loss:0.008362, acc:1.000000
epoch:49 loss:0.007878, acc:1.000000
epoch:49 loss:0.017713, acc:1.000000
epoch:49 loss:0.008438, acc:1.000000
epoch:49 loss:0.055217, acc:0.997768
epoch:49 loss:0.001633, acc:0.998047
epoch:49 loss:0.014655, acc:0.998264
epoch:49 loss:0.166933, acc:0.995313
epoch:49 loss:0.032779, acc:0.994318
epoch:49 loss:0.024938, acc:0.993490
epoch:49 loss:0.006038, acc:0.993990
epoch:49 loss:0.002722, acc:0.994420
epoch:49 loss:0.010022, acc:0.994792
epoch:49 loss:0.014247, acc:0.995117
epoch:49 loss:0.012954, acc:0.995404
epoch:49 loss:0.002654, acc:0.995660
epoch:49 loss:0.010129, acc:0.995888
epoch:49 loss:0.007308, acc:0.996094
epoch:49 loss:0.052683, acc:0.994792
epoch:49 loss:0.030522, acc:0.994318
epoch:49 loss:0.022992, acc:0.993886
epoch:49 loss:0.017427, acc:0.993490
epoch:49 loss:0.065646, acc:0.993125
epoch:49 loss:0.026859, acc:0.992788
epoch:49 loss:0.000588, acc:0.993056
epoch:49 loss:0.030382, acc:0.992746
epoch:49 loss:0.003274, acc:0.992996
epoch:49 loss:0.010996, acc:0.993229
epoch:49 loss:0.003997, acc:0.993448
epoch:49 loss:0.003519, acc:0.993652
epoch:49 loss:0.003633, acc:0.993845
epoch:49 loss:0.003240, acc:0.994026
epoch:49 loss:0.152554, acc:0.993304
epoch:49 loss:0.011097, acc:0.993490
epoch:49 loss:0.049713, acc:0.992821
epoch:49 loss:0.080419, acc:0.992599
epoch:49 loss:0.060216, acc:0.992388
epoch:49 loss:0.011598, acc:0.992578
epoch:49 loss:0.000840, acc:0.992759
epoch:49 loss:0.012133, acc:0.992932
epoch:49 loss:0.096110, acc:0.992369
epoch:49 loss:0.014813, acc:0.992543
epoch:49 loss:0.003474, acc:0.992708
epoch:49 loss:0.001964, acc:0.992867
epoch:49 loss:0.000794, acc:0.993019
epoch:49 loss:0.002142, acc:0.993164
epoch:49 loss:0.010104, acc:0.993304
epoch:49 loss:0.003063, acc:0.993438
epoch:49 loss:0.010124, acc:0.993566
epoch:49 loss:0.012433, acc:0.993690
epoch:49 loss:0.003925, acc:0.993809
epoch:49 loss:0.014929, acc:0.993634
epoch:49 loss:0.010435, acc:0.993750
epoch:49 loss:0.001858, acc:0.993862
epoch:49 loss:0.008315, acc:0.993969
epoch:49 loss:0.010093, acc:0.994073
epoch:49 loss:0.010496, acc:0.994174
epoch:49 loss:0.020134, acc:0.994010
epoch:49 loss:0.004789, acc:0.994109
epoch:49 loss:0.011743, acc:0.994204
epoch:49 loss:0.039653, acc:0.994048
epoch:49 loss:0.007985, acc:0.994141
epoch:49 loss:0.035707, acc:0.993990
epoch:49 loss:0.014066, acc:0.993845
epoch:49 loss:0.085034, acc:0.993470
epoch:49 loss:0.113146, acc:0.993336
epoch:49 loss:0.034639, acc:0.993207
epoch:49 loss:0.142341, acc:0.993080
epoch:49 loss:0.035658, acc:0.992738
epoch:49 loss:0.002978, acc:0.992839
epoch:49 loss:0.004556, acc:0.992937
epoch:49 loss:0.093345, acc:0.992821
epoch:49 loss:0.115563, acc:0.992708
epoch:49 loss:0.063158, acc:0.992599
epoch:49 loss:0.007810, acc:0.992695
epoch:49 loss:0.009446, acc:0.992788
epoch:49 loss:0.004867, acc:0.992880
epoch:49 loss:0.007778, acc:0.992969
epoch:49 loss:0.003753, acc:0.993056
epoch:49 loss:0.004755, acc:0.993140
epoch:49 loss:0.024500, acc:0.993223
epoch:49 loss:0.212062, acc:0.992560
epoch:49 loss:0.001481, acc:0.992647
epoch:49 loss:0.010949, acc:0.992733
epoch:49 loss:0.008816, acc:0.992816
epoch:49 loss:0.008549, acc:0.992898
epoch:49 loss:0.001224, acc:0.992977
epoch:49 loss:0.042096, acc:0.992708
epoch:49 loss:0.082919, acc:0.992445
epoch:49 loss:0.004562, acc:0.992527
epoch:49 loss:0.003576, acc:0.992608
epoch:49 loss:0.005846, acc:0.992686
epoch:49 loss:0.034125, acc:0.992599
epoch:49 loss:0.010557, acc:0.992676
epoch:49 loss:0.010760, acc:0.992751
epoch:49 loss:0.012997, acc:0.992825
epoch:49 loss:0.017871, acc:0.992898
epoch:49 loss:0.019894, acc:0.992969
epoch:49 loss:0.008388, acc:0.993038
epoch:49 loss:0.001167, acc:0.993107
epoch:49 loss:0.002153, acc:0.993174
epoch:49 loss:0.006471, acc:0.993239
epoch:49 loss:0.012374, acc:0.993304
epoch:49 loss:0.134422, acc:0.993072
epoch:49 loss:0.000796, acc:0.993137
epoch:49 loss:0.023075, acc:0.993056
epoch:49 loss:0.007946, acc:0.993119
epoch:49 loss:0.043925, acc:0.993040
epoch:49 loss:0.009648, acc:0.993102
epoch:49 loss:0.046829, acc:0.993025
